iterations,rank,insampling_error,outofsampling_error,general_error
1.0,1,83.92447931546062,0.588480651346124,84.51295996680665
2.0,1,47.2107740547939,17.585601968413194,64.79637602320693
3.0,1,39.84287685358867,32.62701254139659,72.46988939498522
4.0,2,34.13990211115458,48.563746952767374,82.703649063922
5.0,2,30.06213980685853,64.2322738579129,94.2944136647715
6.0,4,26.714372824292216,79.27863873982281,105.99301156411505
7.0,6,23.6197315796709,93.19180722674105,116.81153880641202
8.0,10,20.28513437935192,105.8261074723007,126.1112418516529
9.0,11,18.43595180974167,118.38827820394174,136.82423001368335
10.0,13,16.871761083107387,130.83005226761767,147.70181335072522
11.0,15,15.396303574574214,142.78184131464894,158.178144889223
12.0,16,14.323031176729737,154.44375908456357,168.7667902612933
13.0,18,13.316496143009878,165.73612411496921,179.0526202579793
14.0,20,12.328755389562245,176.42326427321422,188.75201966277626
15.0,23,11.440146715257143,186.7471246567798,198.18727137203695
16.0,27,10.58404216734746,196.66972899393323,207.25377116128075
17.0,31,9.80881231939101,206.1736165968135,215.98242891620444
18.0,35,9.135092502873468,215.34504197072008,224.48013447359347
19.0,39,8.51807275708655,224.2219069458297,232.73997970291674
20.0,42,7.999230073514638,232.87278122591468,240.87201129942878
21.0,45,7.517845758120662,241.35812744133918,248.87597319945942
22.0,47,7.091377090903568,249.67088154009738,256.76225863100126
23.0,49,6.709271774546926,257.80917459527177,264.51844636981843
24.0,52,6.36137393516669,265.7892909645312,272.15066489969786
25.0,56,6.007970994367069,273.4732645114305,279.48123550579777
26.0,61,5.669646683793114,280.8419833748617,286.5116300586549
27.0,64,5.354348454814414,287.93078489055495,293.2851333453693
28.0,69,5.053229870620803,294.7453673958405,299.7985972664614
29.0,72,4.794102004654433,301.35453467846816,306.14863668312216
30.0,74,4.563825144722326,307.8232316887775,312.3870568334999
31.0,77,4.344215370767166,314.11253218211255,318.4567475528792
32.0,80,4.140720463055007,320.1884979470607,324.3292184101158
33.0,82,3.954904610363636,326.0970161158427,330.0519207262063
